protocolSection.identificationModule.briefTitle,protocolSection.statusModule.statusVerifiedDate,protocolSection.statusModule.overallStatus,protocolSection.statusModule.completionDateStruct.date,protocolSection.sponsorCollaboratorsModule.responsibleParty.type,protocolSection.sponsorCollaboratorsModule.responsibleParty.investigatorFullName,protocolSection.sponsorCollaboratorsModule.leadSponsor.name,protocolSection.conditionsModule.conditions,protocolSection.designModule.studyType,protocolSection.designModule.enrollmentInfo.count,protocolSection.designModule.enrollmentInfo.type,protocolSection.armsInterventionsModule.interventions,protocolSection.conditionsModule.keywords,protocolSection.eligibilityModule.studyPopulation
Muscular Biomarkers in Amyotrophic Lateral Sclerosis,2021-04,COMPLETED,2019-12-09,SPONSOR,,"University Hospital, Tours",['Amyotrophic Lateral Sclerosis'],INTERVENTIONAL,37.0,ACTUAL,"[{'name': 'Samples', 'description': 'Blood samples, muscle biopsy'}]","['Amyotrophic Lateral Sclerosis', 'Muscle metabolism', 'Metabolomics', 'Transcriptomics']",
Allogeneic Hematopoietic Stem Cell Transplantation,2011-01,UNKNOWN,2009-04,,,"University Hospital, Clermont-Ferrand","['Solid Tumors', 'Hematologic Neoplasms']",INTERVENTIONAL,30.0,ESTIMATED,"[{'name': 'Fludarabine, Busulfan, Thymoglobulin', 'description': 'study :\n\n* acute and/or chronic graft-versus-host reaction (incidence and severity) and immune reconstitution, post transplantation\n* the effectiveness of the protocol on tumor response\n* overall survival'}]","['Allograft', 'Children', 'malignancy', 'Reduced Intensity Conditioning', 'Fludarabin', 'Busulfex', 'Thymoglobulin']",
Tolerability and Safety Study of Recombinant Human Acid Sphingomyelinase in Acid Sphingomyelinase Deficiency Patients,2015-07,COMPLETED,2014-01,SPONSOR,,"Genzyme, a Sanofi Company",['Human Acid Sphingomyelinase Deficiency'],INTERVENTIONAL,5.0,ACTUAL,"[{'name': 'Recombinant human acid sphingomyelinase', 'description': 'Administered intravenously every 2 weeks for 26 weeks'}]",['Human acid sphingomyelinase deficiency'],
AIM's Writing for Healing: A Workshop for Individuals Living With Paralysis,2023-08,RECRUITING,2025-03-28,PRINCIPAL_INVESTIGATOR,"Hon K. Yuen, PhD",University of Alabama at Birmingham,"['Spinal Cord Injuries', 'Multiple Sclerosis', 'Transverse Myelitis', 'Amyotrophic Lateral Sclerosis']",OBSERVATIONAL,160.0,ESTIMATED,,,Sex: both Race/Ethnicity: all Age: aged 18 years or above Health status: Healthy
Treatment for Speech and Language in Primary Progressive Aphasia,2023-12,ACTIVE_NOT_RECRUITING,2024-06-30,SPONSOR,,University of Texas at Austin,"['Primary Progressive Aphasia', 'Semantic Dementia', 'Semantic Memory Disorder', 'Logopenic Progressive Aphasia', 'Nonfluent Aphasia, Progressive', 'Aphasia', 'Aphasia, Progressive']",INTERVENTIONAL,60.0,ACTUAL,"[{'name': 'Lexical Retrieval Training (LRT)', 'description': 'In person or via teletherapy: Participants work on producing spoken and written names of personally relevant target items using a self-cueing hierarchy. Treatment focuses on the use of strategies that capitalize on spared cognitive-linguistic abilities to support word retrieval. The participant completes two (one hour each) sessions per week with a clinician plus daily home practice exercises.'}, {'name': 'Video-Implemented Script Training for Aphasia (VISTA)', 'description': 'In person or via teletherapy: Participants work on producing personally relevant scripts of 4-6 sentences in length. Length and complexity of scripts are individually tailored. The participant completes 30 minutes per day of home practice, during which they speak in unison with a video/audio model of a healthy speaker clearly articulating the scripts. Biweekly (one hour each) sessions with a clinician target clear and accurate script production, script memorization, and conversational usage of scripts.'}]",,
A Long-Term Study of Olipudase Alfa in Patients With Acid Sphingomyelinase Deficiency,2023-09,COMPLETED,2023-09-06,SPONSOR,,"Genzyme, a Sanofi Company",['Sphingomyelin Lipidosis'],INTERVENTIONAL,25.0,ACTUAL,"[{'name': 'GZ402665', 'description': 'Pharmaceutical form: Powder for concentrate for solution for infusion\n\nRoute of administration: intravenous infusion'}]",,
RHAPSODY-plus: Online Counseling for Family Caregivers of Patients With Young Onset Dementia,2019-09,COMPLETED,2019-05-30,PRINCIPAL_INVESTIGATOR,Janine Diehl-Schmid,Technical University of Munich,"['Early Onset Alzheimer Disease', 'Frontotemporal Dementia']",INTERVENTIONAL,20.0,ACTUAL,"[{'name': 'RHAPSODY online program and MEET online sessions', 'description': 'internet-based information and skill-building program (RHAPSODY) specifically developed for family carers of care recipients with young onset dementia (Kurz, et al., 2016).\n\nMEET is a software for online meetings.'}]","['Young onset dementia', 'caregiver', 'online intervention', 'online communication technology']",
Modafinil for Treatment of Fatigue in ALS Patients,2012-02,COMPLETED,2008-07,SPONSOR,,New York State Psychiatric Institute,['Fatigue'],INTERVENTIONAL,32.0,ACTUAL,"[{'name': 'Modafinil', 'description': 'Dose schedule: 50 mg/day for 1 week, increasing to 100 mg/day at Week 2. Thereafter, dose may be increased to 300 mg/day as clinically indicated, in the absence of dose-limiting side effects. Dose is daily, in A.M., for 4 weeks.'}, {'name': 'Placebo', 'description': 'Placebo capsules are administered on the same schedule as active drug: 50 mg/day for 1 week, increasing to 100 mg/day at Week 2. Thereafter, dose may be increased to 300 mg/day in the absence of clinical improvement and dose limiting side effects. Dose is daily, in A.M.'}]","['Fatigue', 'low energy', 'ALS', 'treatment']",
Exploratory Evaluation of [11C]MPC6827,2023-10,RECRUITING,2025-09,PRINCIPAL_INVESTIGATOR,Akiva Mintz,Columbia University,"['Neurodegenerative Diseases', 'Alzheimer Disease', 'Amyotrophic Lateral Sclerosis']",INTERVENTIONAL,40.0,ESTIMATED,"[{'name': '[11C]MPC6827', 'description': 'Subjects will receive a microdose ( 10 µg) of \\[11C\\]MPC6827 (dose of 20 mCi)'}]",['[11C]MPC6827'],
Stem Cell Transplant for Inborn Errors of Metabolism,2017-12,COMPLETED,2010-06,SPONSOR,,"Masonic Cancer Center, University of Minnesota","['Adrenoleukodystrophy', 'Metachromatic Leukodystrophy', 'Globoid Cell Leukodystrophy', ""Gaucher's Disease"", 'Fucosidosis', 'Wolman Disease', 'Niemann-Pick Disease', 'Batten Disease', 'GM1 Gangliosidosis', 'Tay Sachs Disease', 'Sandhoff Disease']",INTERVENTIONAL,135.0,ACTUAL,"[{'name': 'Stem Cell Transplant', 'description': ""The purpose of hematopoietic cell transplantation is to introduce hematopoietic cells from a normal donor that contains an enzyme able to get rid of the substances that have accumulated in the body of patients with storage diseases. Hematopoietic cells can come from bone marrow, peripheral blood (i.e., the blood circulating in our body's blood vessels) or umbilical cord blood (i.e., blood taken from the umbilical cord after a baby is born and umbilical cord is cut).""}, {'name': 'Busulfan, Cyclophosphamide, Antithymocyte Globulin', 'description': 'Subjects will receive BUSULFAN intravenously (IV)- patients \\< or= 12 kg 1.1 mg/kd/dose IV every 6 hours for 16 doses; patients \\> 12kg 0.8 mg/kg/dose IV every 6 hours for 16 doses - via the Hickman line four times daily for 4 days, CYCLOPHOSPHAMIDE intravenously (50 mg/kg/day IV over 2 hours) via the Hickman line once a day for 4 days, and ANTI-THYMOCYTE GLOBULIN IV (15 mg/kg/day over 2 hours) via the Hickman line twice daily for three days before the transplant. These three drugs are being given to help the new marrow ""take"" and grow. METHYLPREDNISOLONE will be given as a pre-medication for the ATG.'}]","['Inborn errors', 'Storage disease', 'errors of metabolism', 'stem cell transplant']",
Muscle Ultrasound: A New Tool for Measuring Progression in Amyotrophic Lateral Sclerosis (ALS),2009-12,COMPLETED,2009-08,,,Vanderbilt University,['Amyotrophic Lateral Sclerosis'],OBSERVATIONAL,10.0,ACTUAL,,"['Amyotrophic Lateral Sclerosis', 'Ultrasonography', 'Atrophy']",Patients diagnosed with ALS (Amyotrophic Lateral Sclerosis)
"A Multicenter, Open-label Extension Study to Investigate the Long-term Safety of FAB122 in Patients With Amyotrophic Lateral Sclerosis",2023-05,RECRUITING,2026-06-30,SPONSOR,,Ferrer Internacional S.A.,['Amyotrophic Lateral Sclerosis'],INTERVENTIONAL,225.0,ESTIMATED,"[{'name': 'FAB122', 'description': 'FAB122 Daily dose 100 mg'}]",,
Lung Volume Recruitment Combined With Expiratory Muscle Strength Training in ALS,2023-02,COMPLETED,2022-12-30,SPONSOR,,University of Minnesota,['Amyotrophic Lateral Sclerosis'],INTERVENTIONAL,23.0,ACTUAL,"[{'name': 'Expiratory Muscle Strength Training (EMST)', 'description': ""EMST uses a training device that has a valve set to 50% of a patient's maximum expiratory pressure (MEP). The patient exhales forcefully until the valve releases. Patients perform 5 sets of 5 repetitions a day, 5 days a week.""}, {'name': 'EMST + Lung Volume Recruitment (LVR)', 'description': ""EMST uses a training device that has a valve set to 50% of a patient's maximum expiratory pressure (MEP). The patient exhales forcefully until the valve releases. Patients perform 5 sets of 5 repetitions a day, 5 days a week.\n\nLVR is a technique to increase cough function that is performed with a resuscitation bag fitted with a mouthpiece and a one-way valve. The bag is used to expand the lungs, after which the patient makes a voluntary cough. Half of the participants will perform the LVR technique in addition to the ESMT technique.""}]",,
Human CNS Tau Kinetics in Tauopathies,2022-04,COMPLETED,2022-03-04,SPONSOR,,Washington University School of Medicine,"['Progressive Supranuclear Palsy (PSP)', 'Corticobasal Degeneration (CBD)', 'Frontotemporal Dementia (FTD MAPT Mutation)']",OBSERVATIONAL,27.0,ACTUAL,"[{'name': '13C6 Leucine', 'description': 'Recruited participants will be given 13C6-labeled leucine through intravenous infusion (4mg/kg/hr for 16hrs)'}]",['Tauopathies'],"Progressive Supranuclear Palsy (PSP): N=12

Corticobasal Degeneration (CBD): N=8

Frontotemporal Dementia (FTD): MAPT: Family members with or at-risk of tau mutations (e.g. P301L) N=12"
Biomarker for Niemann Pick Type C Disease (BioNPC),2023-02,WITHDRAWN,2021-02-28,SPONSOR,,CENTOGENE GmbH Rostock,"['Niemann-Pick Disease', 'Niemann-Pick Disease, Type C']",OBSERVATIONAL,0.0,ACTUAL,,"['Genetic Diseases', 'Lipidoses', 'Lipid Metabolism', 'Lysosomal Storage Diseases', 'Metabolic Diseases', 'Lipid Metabolism Disorders']",Patients with Niemann Pick Disease Type C (NPC1/NPC2) or profound suspicion for Niemann Pick Disease Type C disease (NPC1/NPC2)
NeuRx Diaphram Pacing System (DPS) Use in Amyotrophic Lateral Sclerosis (ALS),2020-03,WITHDRAWN,2018-02-12,SPONSOR,,Synapse Biomedical,['Amyotrophic Lateral Sclerosis'],INTERVENTIONAL,0.0,ACTUAL,"[{'name': 'NeuRx DPS', 'description': 'Patients who are diagnosed with ALS, have initiated NIV and choose to have the NeuRx DPS implanted.'}]",['Diaphragm Pacing'],
Safety and Preliminary Efficacy of Aleeto in Amyotrophic Lateral Sclerosis,2023-12,NOT_YET_RECRUITING,2024-10-30,PRINCIPAL_INVESTIGATOR,yilong Wang,Beijing Tiantan Hospital,['Amyotrophic Lateral Sclerosis'],INTERVENTIONAL,24.0,ESTIMATED,"[{'name': 'Aleeto', 'description': 'According to the groups, patients would be treated with Aleeto via intrathecal injection or intravenous injection, and the specific dosage and administration method of Aleeto will depend on the grouping.'}, {'name': 'intravenous injection', 'description': 'According to the groups, patients would be treated with Aleeto or placebo +100ml sodium chloride injection via intravenous injection, depend on the grouping'}, {'name': 'intrathecal injection', 'description': 'According to the groups, patients would be treated with Aleeto or placebo + 8ml sodium chloride injection via intrathecal injection, depend on the grouping.'}]","['Placebo parallel-controlled', 'Single-center Study', 'Double Blind Study', 'Randomized Controlled Trial', 'Dose escalation clinical study', 'Aleeto']",
An Evaluation of Low Level Laser Light Therapy on Improving the Symptoms of Alzheimer's Disease,2021-05,COMPLETED,2020-10-15,SPONSOR,,Erchonia Corporation,"[""Alzheimer's Disease""]",INTERVENTIONAL,43.0,ACTUAL,"[{'name': 'Erchonia ALS Laser', 'description': ""The Erchonia ALS Laser is administered to the subject's frontal cortex, temporal regions and base of the skull 8 times across 4 consecutive weeks, 2 times each week, for 10 minutes of treatment time per administration. The total energy delivered to the subject per procedure administration is 22.5 joules.""}, {'name': 'Placebo Laser', 'description': ""The Placebo Laser is administered to the subject's frontal cortex, temporal regions and base of the skull 8 times across 4 consecutive weeks, 2 times each week, for 10 minutes of treatment time per administration. There is no energy delivered to the subject.""}]",,
Validation of Combined Symptom Medication Score (cSMS) in Allergic Patients,2021-03,COMPLETED,2020-09-03,SPONSOR,,Leti Pharma GmbH,"['Allergic Rhinoconjunctivitis', 'Allergic Asthma']",OBSERVATIONAL,168.0,ACTUAL,"[{'name': 'Immunotherapy', 'description': 'subcutaneous injection'}]","['Allergy', 'Rhinoconjuctivitis', 'Combined Symptom and Medication Score', 'Allergic Asthma', 'Pollen', 'Mites']","adults and adolescents suffering from allergic diseases (rhinitis, rhinoconjunctivitis, with or without concomitant asthma)"
IC14 for ALS Patients Expanded Access,2020-06,NO_LONGER_AVAILABLE,,SPONSOR,,Implicit Bioscience,['Amyotrophic Lateral Sclerosis'],EXPANDED_ACCESS,,,"[{'name': 'IC14', 'description': 'monoclonal antibody directed against CD14'}]","['Motor Neurone Disease', 'Compassionate use']",
Ibudilast (MN-166) in Subjects With Amyotrophic Lateral Sclerosis (ALS),2021-10,COMPLETED,2017-12,SPONSOR,,MediciNova,['Amyotrophic Lateral Sclerosis'],INTERVENTIONAL,70.0,ACTUAL,"[{'name': 'Placebo (for MN-166)'}, {'name': 'MN-166'}, {'name': 'riluzole', 'description': 'Patient is given 50 mg riluzole twice daily.'}]","['amyotrophic lateral sclerosis', 'pharmacotherapy', 'intervention', 'prospective', 'safety endpoint', 'preliminary efficacy', 'ibudilast']",
Study of the Role of G72 in Amyotrophic Lateral Sclerosis: Biomarker Discovery and Mechanism Investigation,2011-06,UNKNOWN,,,,China Medical University Hospital,"['Amyotrophic Lateral Sclerosis', 'Alzheimer Disease', ""Parkinson's Disease""]",OBSERVATIONAL,120.0,ESTIMATED,,"['Amyotrophic Lateral Sclerosis', 'G72', 'SNP']",patients were from Taipei city hospital-ZhongXiao branch.
A Pilot Study of RNS60 in Amyotrophic Lateral Sclerosis (ALS),2021-05,COMPLETED,2017-10-18,SPONSOR_INVESTIGATOR,"Sabrina Paganoni, M.D.","Sabrina Paganoni, M.D.",['ALS'],INTERVENTIONAL,24.0,ACTUAL,"[{'name': 'RNS60', 'description': 'RNS60 will be administered in two ways: by intravenous (IV) infusion one day a week (infusion dose: 375ml, infused over a 40-min period) and by inhalation (the remaining 6 days a week, 4 ml/day) for 23 weeks.\n\nIn addition, subjects will be given the option to continue to receive drug for approximately an additional 24 weeks, for a total of approximately 48 weeks on study drug. Study drug will be given by intravenous (IV) infusion one day a week (infusion dose: 375ml, infused over a 40-min period) and by inhalation (the remaining 6 days a week, 4 ml/day) during the extension phase.'}]",,
Efficacy and Safety Extension Study of Oral Edaravone Administered in Subjects With ALS,2023-10,TERMINATED,2023-09-29,SPONSOR,,Mitsubishi Tanabe Pharma America Inc.,['ALS'],INTERVENTIONAL,202.0,ACTUAL,"[{'name': 'MT-1186', 'description': 'Oral edaravone'}, {'name': 'Placebo', 'description': 'Oral'}]",,
Factors Associated With Success of NIPPV in ALS Patients,2022-10,ACTIVE_NOT_RECRUITING,2023-09-22,PRINCIPAL_INVESTIGATOR,Jaewon Beom,Seoul National University Bundang Hospital,['ALS'],OBSERVATIONAL,51.0,ACTUAL,,"['Noninvasive positive pressure ventilation', 'Amyotrophic lateral sclerosis', 'Adherence']",ALS patients who were admitted for applying non-invasive positive pressure ventilation initially.
The Effects of a Multimodal Approach for the Treatment of Primary Progressive Aphasia,2023-02,RECRUITING,2024-04-04,SPONSOR,,IRCCS Centro San Giovanni di Dio Fatebenefratelli,['Primary Progressive Aphasia'],INTERVENTIONAL,45.0,ESTIMATED,"[{'name': 'Active tDCS', 'description': 'Active tDCS anode is applied over the left DLPFC with the cathode over the right supraorbital region.'}, {'name': 'Placebo tDCS', 'description': 'Placebo tDCS is applied but the current is turned off 10 seconds after the beginning and turned on for the last 10 seconds of the stimulation period.'}, {'name': 'Language training', 'description': 'patients receive language training'}, {'name': 'Unstructured cognitive training', 'description': 'patients receive unstructured cognitive training.'}]",,
"Psychological Management by Meditation of Full COnscience in Virtual REality of People With Amyotrophic Lateral Sclerosis: Effects on Cognition, Behavior, Quality of Life and Psychological Well-being",2022-05,NOT_YET_RECRUITING,2023-06,SPONSOR,,"University Hospital, Angers","['Lateral Sclerosis Amyotrophy', 'Mindfulness Meditation']",INTERVENTIONAL,46.0,ESTIMATED,"[{'name': 'mindfulness meditation care', 'description': 'mindfulness meditation care'}, {'name': 'no mindfulness meditation care', 'description': 'no mindfulness meditation care'}]",,
